model,observed_ports,embedding_layer,embedding_dim,size_no_quant_bits,size_no_quant_bytes,size_q4_bits,size_q4_bytes,compression_q4x,size_q8_bits,size_q8_bytes,compression_q8x,size_q16_bits,size_q16_bytes,compression_q16x,size_q32_bits,size_q32_bytes,compression_q32x
cnn1d,3,dense_0_act,210,6720,840.0,840,105.0,8.0,1680,210.0,4.0,3360,420.0,2.0,6720,840.0,1.0
cnn1d,4,dense_0_act,250,8000,1000.0,1000,125.0,8.0,2000,250.0,4.0,4000,500.0,2.0,8000,1000.0,1.0
cnn1d,5,dense_0_act,200,6400,800.0,800,100.0,8.0,1600,200.0,4.0,3200,400.0,2.0,6400,800.0,1.0
cnn1d,6,dense_0_act,400,12800,1600.0,1600,200.0,8.0,3200,400.0,4.0,6400,800.0,2.0,12800,1600.0,1.0
cnn1d,7,dense_0_act,300,9600,1200.0,1200,150.0,8.0,2400,300.0,4.0,4800,600.0,2.0,9600,1200.0,1.0
cnn1d,10,dense_0_act,320,10240,1280.0,1280,160.0,8.0,2560,320.0,4.0,5120,640.0,2.0,10240,1280.0,1.0
cnn1d,15,flatten,7680,245760,30720.0,30720,3840.0,8.0,61440,7680.0,4.0,122880,15360.0,2.0,245760,30720.0,1.0
dnn,3,dense_1_dropout,540,17280,2160.0,2160,270.0,8.0,4320,540.0,4.0,8640,1080.0,2.0,17280,2160.0,1.0
dnn,4,dense_1_dropout,650,20800,2600.0,2600,325.0,8.0,5200,650.0,4.0,10400,1300.0,2.0,20800,2600.0,1.0
dnn,5,dense_1_dropout,200,6400,800.0,800,100.0,8.0,1600,200.0,4.0,3200,400.0,2.0,6400,800.0,1.0
dnn,6,dense_0_act,650,20800,2600.0,2600,325.0,8.0,5200,650.0,4.0,10400,1300.0,2.0,20800,2600.0,1.0
dnn,7,dense_0_act,690,22080,2760.0,2760,345.0,8.0,5520,690.0,4.0,11040,1380.0,2.0,22080,2760.0,1.0
dnn,10,dense_0,450,14400,1800.0,1800,225.0,8.0,3600,450.0,4.0,7200,900.0,2.0,14400,1800.0,1.0
dnn,15,dense_0,450,14400,1800.0,1800,225.0,8.0,3600,450.0,4.0,7200,900.0,2.0,14400,1800.0,1.0
gnn,3,global_avg_pool,176,5632,704.0,704,88.0,8.0,1408,176.0,4.0,2816,352.0,2.0,5632,704.0,1.0
gnn,4,global_avg_pool,80,2560,320.0,320,40.0,8.0,640,80.0,4.0,1280,160.0,2.0,2560,320.0,1.0
gnn,5,global_avg_pool,144,4608,576.0,576,72.0,8.0,1152,144.0,4.0,2304,288.0,2.0,4608,576.0,1.0
gnn,6,global_avg_pool,192,6144,768.0,768,96.0,8.0,1536,192.0,4.0,3072,384.0,2.0,6144,768.0,1.0
gnn,7,global_avg_pool,112,3584,448.0,448,56.0,8.0,896,112.0,4.0,1792,224.0,2.0,3584,448.0,1.0
gnn,10,global_avg_pool,176,5632,704.0,704,88.0,8.0,1408,176.0,4.0,2816,352.0,2.0,5632,704.0,1.0
gnn,15,global_avg_pool,176,5632,704.0,704,88.0,8.0,1408,176.0,4.0,2816,352.0,2.0,5632,704.0,1.0
lm,3,node_regressor,100,3200,400.0,400,50.0,8.0,800,100.0,4.0,1600,200.0,2.0,3200,400.0,1.0
lm,4,node_regressor,100,3200,400.0,400,50.0,8.0,800,100.0,4.0,1600,200.0,2.0,3200,400.0,1.0
lm,5,node_regressor,100,3200,400.0,400,50.0,8.0,800,100.0,4.0,1600,200.0,2.0,3200,400.0,1.0
lm,6,node_regressor,100,3200,400.0,400,50.0,8.0,800,100.0,4.0,1600,200.0,2.0,3200,400.0,1.0
lm,7,node_regressor,100,3200,400.0,400,50.0,8.0,800,100.0,4.0,1600,200.0,2.0,3200,400.0,1.0
lm,10,node_regressor,100,3200,400.0,400,50.0,8.0,800,100.0,4.0,1600,200.0,2.0,3200,400.0,1.0
lm,15,node_regressor,100,3200,400.0,400,50.0,8.0,800,100.0,4.0,1600,200.0,2.0,3200,400.0,1.0
lstm,3,lstm_0_act,512,16384,2048.0,2048,256.0,8.0,4096,512.0,4.0,8192,1024.0,2.0,16384,2048.0,1.0
lstm,4,lstm_1_act,128,4096,512.0,512,64.0,8.0,1024,128.0,4.0,2048,256.0,2.0,4096,512.0,1.0
lstm,5,lstm_0_act,512,16384,2048.0,2048,256.0,8.0,4096,512.0,4.0,8192,1024.0,2.0,16384,2048.0,1.0
lstm,6,dense_0_act,500,16000,2000.0,2000,250.0,8.0,4000,500.0,4.0,8000,1000.0,2.0,16000,2000.0,1.0
lstm,7,lstm_0,512,16384,2048.0,2048,256.0,8.0,4096,512.0,4.0,8192,1024.0,2.0,16384,2048.0,1.0
lstm,10,dense_0,500,16000,2000.0,2000,250.0,8.0,4000,500.0,4.0,8000,1000.0,2.0,16000,2000.0,1.0
lstm,15,lstm_0,512,16384,2048.0,2048,256.0,8.0,4096,512.0,4.0,8192,1024.0,2.0,16384,2048.0,1.0
tcnn1d,3,dense_0_act,300,9600,1200.0,1200,150.0,8.0,2400,300.0,4.0,4800,600.0,2.0,9600,1200.0,1.0
tcnn1d,4,dense_0_act,300,9600,1200.0,1200,150.0,8.0,2400,300.0,4.0,4800,600.0,2.0,9600,1200.0,1.0
tcnn1d,5,dense_0_act,300,9600,1200.0,1200,150.0,8.0,2400,300.0,4.0,4800,600.0,2.0,9600,1200.0,1.0
tcnn1d,6,dense_0_act,500,16000,2000.0,2000,250.0,8.0,4000,500.0,4.0,8000,1000.0,2.0,16000,2000.0,1.0
tcnn1d,7,flatten,3584,114688,14336.0,14336,1792.0,8.0,28672,3584.0,4.0,57344,7168.0,2.0,114688,14336.0,1.0
tcnn1d,10,flatten,15360,491520,61440.0,61440,7680.0,8.0,122880,15360.0,4.0,245760,30720.0,2.0,491520,61440.0,1.0
tcnn1d,15,flatten,7680,245760,30720.0,30720,3840.0,8.0,61440,7680.0,4.0,122880,15360.0,2.0,245760,30720.0,1.0
